competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCupQualifiers,2022,2019-06-06,Bhutan,Guam,1,0,False,Qualification,Qualification,full_time,False,Bhutan,"Venue: Thimphu, Bhutan"
WorldCupQualifiers,2022,2019-06-06,Cambodia,Pakistan,2,0,False,Qualification,Qualification,full_time,False,Cambodia,"Venue: Phnom Penh, Cambodia"
WorldCupQualifiers,2022,2019-06-06,Laos,Bangladesh,0,1,False,Qualification,Qualification,full_time,False,Bangladesh,"Venue: Vientiane, Laos"
WorldCupQualifiers,2022,2019-06-06,Macau,Sri Lanka,1,0,False,Qualification,Qualification,full_time,False,Macau,"Venue: Zhuhai, Macau"
WorldCupQualifiers,2022,2019-06-06,Mongolia,Brunei,2,0,False,Qualification,Qualification,full_time,False,Mongolia,"Venue: Ulaanbaatar, Mongolia"
WorldCupQualifiers,2022,2019-06-07,Malaysia,Timor-Leste,7,1,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Kuala Lumpur, Malaysia"
WorldCupQualifiers,2022,2019-06-11,Bangladesh,Laos,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Dhaka, Bangladesh"
WorldCupQualifiers,2022,2019-06-11,Brunei,Mongolia,2,1,False,Qualification,Qualification,full_time,False,Brunei,"Venue: Bandar Seri Begawan, Brunei"
WorldCupQualifiers,2022,2019-06-11,Guam,Bhutan,5,0,False,Qualification,Qualification,full_time,False,Guam,"Venue: Dededo, Guam"
WorldCupQualifiers,2022,2019-06-11,Pakistan,Cambodia,1,2,True,Qualification,Qualification,full_time,False,Cambodia,"Venue: Doha, Qatar"
WorldCupQualifiers,2022,2019-06-11,Sri Lanka,Macau,3,0,False,Qualification,Qualification,full_time,False,Sri Lanka,"Venue: Colombo, Sri Lanka"
WorldCupQualifiers,2022,2019-06-11,Malaysia,Timor-Leste,5,1,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Kuala Lumpur, Malaysia"
WorldCupQualifiers,2022,2019-09-04,Burundi,Tanzania,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Bujumbura, Burundi"
WorldCupQualifiers,2022,2019-09-04,Djibouti,Eswatini,2,1,False,Qualification,Qualification,full_time,False,Djibouti,"Venue: Djibouti, Djibouti"
WorldCupQualifiers,2022,2019-09-04,Eritrea,Namibia,1,2,False,Qualification,Qualification,full_time,False,Namibia,"Venue: Asmara, Eritrea"
WorldCupQualifiers,2022,2019-09-04,Ethiopia,Lesotho,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Bahir Dar, Ethiopia"
WorldCupQualifiers,2022,2019-09-04,Liberia,Sierra Leone,3,1,False,Qualification,Qualification,full_time,False,Liberia,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2022,2019-09-04,Mauritius,Mozambique,0,1,False,Qualification,Qualification,full_time,False,Mozambique,"Venue: Belle Vue Maurel, Mauritius"
WorldCupQualifiers,2022,2019-09-04,São Tomé and Príncipe,Guinea-Bissau,0,1,False,Qualification,Qualification,full_time,False,Guinea-Bissau,"Venue: São Tomé, São Tomé and Príncipe"
WorldCupQualifiers,2022,2019-09-04,South Sudan,Equatorial Guinea,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Omdurman, Sudan"
WorldCupQualifiers,2022,2019-09-05,Guam,Maldives,0,1,False,Qualification,Qualification,full_time,False,Maldives,"Venue: Dededo, Guam"
WorldCupQualifiers,2022,2019-09-05,Philippines,Syria,2,5,False,Qualification,Qualification,full_time,False,Syria,"Venue: Bacolod, Philippines"
WorldCupQualifiers,2022,2019-09-05,Taiwan,Jordan,1,2,False,Qualification,Qualification,full_time,False,Jordan,"Venue: Taipei, Taiwan"
WorldCupQualifiers,2022,2019-09-05,Kuwait,Nepal,7,0,False,Qualification,Qualification,full_time,False,Kuwait,"Venue: Kuwait City, Kuwait"
WorldCupQualifiers,2022,2019-09-05,Cambodia,Hong Kong,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Phnom Penh, Cambodia"
WorldCupQualifiers,2022,2019-09-05,Bahrain,Iraq,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Riffa, Bahrain"
WorldCupQualifiers,2022,2019-09-05,Palestine,Uzbekistan,2,0,False,Qualification,Qualification,full_time,False,Palestine,"Venue: Al-Ram, Palestine"
WorldCupQualifiers,2022,2019-09-05,Singapore,Yemen,2,2,False,Qualification,Qualification,full_time,False,,"Venue: Kallang, Singapore"
WorldCupQualifiers,2022,2019-09-05,India,Oman,1,2,False,Qualification,Qualification,full_time,False,Oman,"Venue: Guwahati, India"
WorldCupQualifiers,2022,2019-09-05,Qatar,Afghanistan,6,0,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Doha, Qatar"
WorldCupQualifiers,2022,2019-09-05,Mongolia,Myanmar,1,0,False,Qualification,Qualification,full_time,False,Mongolia,"Venue: Ulaanbaatar, Mongolia"
WorldCupQualifiers,2022,2019-09-05,Tajikistan,Kyrgyzstan,1,0,False,Qualification,Qualification,full_time,False,Tajikistan,"Venue: Dushanbe, Tajikistan"
WorldCupQualifiers,2022,2019-09-05,Thailand,Vietnam,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Pathum Thani, Thailand"
WorldCupQualifiers,2022,2019-09-05,Indonesia,Malaysia,2,3,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Jakarta, Indonesia"
WorldCupQualifiers,2022,2019-09-05,North Korea,Lebanon,2,0,False,Qualification,Qualification,full_time,False,North Korea,"Venue: Pyongyang, North Korea"
WorldCupQualifiers,2022,2019-09-05,Sri Lanka,Turkmenistan,0,2,False,Qualification,Qualification,full_time,False,Turkmenistan,"Venue: Colombo, Sri Lanka"
WorldCupQualifiers,2022,2019-09-05,Chad,Sudan,1,3,False,Qualification,Qualification,full_time,False,Sudan,"Venue: N'Djamena, Chad"
WorldCupQualifiers,2022,2019-09-05,Seychelles,Rwanda,0,3,False,Qualification,Qualification,full_time,False,Rwanda,"Venue: Victoria, Seychelles"
WorldCupQualifiers,2022,2019-09-05,Somalia,Zimbabwe,1,0,True,Qualification,Qualification,full_time,False,Somalia,"Venue: Djibouti, Djibouti"
WorldCupQualifiers,2022,2019-09-06,Comoros,Togo,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Moroni, Comoros"
WorldCupQualifiers,2022,2019-09-06,Gambia,Angola,0,1,False,Qualification,Qualification,full_time,False,Angola,"Venue: Bakau, Gambia"
