competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCup,2026,2026-06-11,Mexico,South Africa,2,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-12,South Korea,Czechia,2,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-12,Canada,Bosnia and Herzegovina,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-13,United States,Paraguay,4,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-13,Qatar,Switzerland,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-13,Brazil,Morocco,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-14,Haiti,Scotland,0,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-14,Australia,Turkey,2,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-14,Germany,Curaçao,7,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-14,Netherlands,Japan,2,2,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-15,Ivory Coast,Ecuador,1,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-15,Sweden,Tunisia,5,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-15,Spain,Cabo Verde,0,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-15,Egypt,Belgium,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-15,Saudi Arabia,Uruguay,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-16,Iran,New Zealand,2,2,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-16,France,Senegal,3,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-16,Iraq,Norway,1,4,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,Argentina,Algeria,3,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,Austria,Jordan,3,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,Portugal,DR Congo,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,England,Croatia,4,2,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,Ghana,Panama,1,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-17,Colombia,Uzbekistan,3,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-18,Czechia,South Africa,1,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-18,Canada,Qatar,6,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-18,Mexico,South Korea,1,0,True,Group,Group Stage,FT90,False,,
WorldCup,2026,2026-06-19,United States,Australia,2,0,True,Group,Group Stage,FT90,False,,
