competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
CSL,2025,2025-02-22,Chengdu Rongcheng,Wuhan Three Towns,1,0,false,League,Round 1,FT90,false,Chengdu Rongcheng,
CSL,2025,2025-02-22,Shanghai Shenhua,Changchun Yatai,2,1,false,League,Round 1,FT90,false,Shanghai Shenhua,
CSL,2025,2025-02-22,Yunnan Yukun,Beijing Guoan,0,2,false,League,Round 1,FT90,false,Beijing Guoan,
CSL,2025,2025-02-23,Qingdao Hainiu,Qingdao West Coast,2,2,false,League,Round 1,FT90,false,,
CSL,2025,2025-02-23,Zhejiang Professional,Dalian Yingbo,1,1,false,League,Round 1,FT90,false,,
CSL,2025,2025-02-23,Shandong Taishan,Henan,0,0,false,League,Round 1,FT90,false,,
CSL,2025,2025-02-23,Tianjin Jinmen Tiger,Meizhou Hakka,2,2,false,League,Round 1,FT90,false,,
CSL,2025,2025-02-23,Shanghai Port,Shenzhen Peng City,3,1,false,League,Round 1,FT90,false,Shanghai Port,
CSL,2025,2025-02-28,Shandong Taishan,Dalian Yingbo,4,1,false,League,Round 2,FT90,false,Shandong Taishan,
CSL,2025,2025-02-28,Shanghai Port,Changchun Yatai,2,0,false,League,Round 2,FT90,false,Shanghai Port,
CSL,2025,2025-03-01,Qingdao Hainiu,Shenzhen Peng City,0,1,false,League,Round 2,FT90,false,Shenzhen Peng City,
CSL,2025,2025-03-01,Meizhou Hakka,Henan,2,1,false,League,Round 2,FT90,false,Meizhou Hakka,
CSL,2025,2025-03-01,Shanghai Shenhua,Beijing Guoan,2,2,false,League,Round 2,FT90,false,,
CSL,2025,2025-03-01,Yunnan Yukun,Zhejiang Professional,1,1,false,League,Round 2,FT90,false,,
CSL,2025,2025-03-02,Chengdu Rongcheng,Tianjin Jinmen Tiger,1,2,false,League,Round 2,FT90,false,Tianjin Jinmen Tiger,
CSL,2025,2025-03-03,Qingdao West Coast,Wuhan Three Towns,2,0,false,League,Round 2,FT90,false,Qingdao West Coast,
CSL,2025,2025-03-28,Qingdao West Coast,Shanghai Port,3,3,false,League,Round 3,FT90,false,,
CSL,2025,2025-03-28,Wuhan Three Towns,Zhejiang Professional,0,4,false,League,Round 3,FT90,false,Zhejiang Professional,
CSL,2025,2025-03-28,Shenzhen Peng City,Yunnan Yukun,3,4,false,League,Round 3,FT90,false,Yunnan Yukun,
CSL,2025,2025-03-29,Dalian Yingbo,Changchun Yatai,2,0,false,League,Round 3,FT90,false,Dalian Yingbo,
CSL,2025,2025-03-29,Tianjin Jinmen Tiger,Qingdao Hainiu,1,0,false,League,Round 3,FT90,false,Tianjin Jinmen Tiger,
CSL,2025,2025-03-29,Henan,Shanghai Shenhua,1,3,false,League,Round 3,FT90,false,Shanghai Shenhua,
CSL,2025,2025-03-29,Meizhou Hakka,Shandong Taishan,3,4,false,League,Round 3,FT90,false,Shandong Taishan,
CSL,2025,2025-03-29,Beijing Guoan,Chengdu Rongcheng,1,1,false,League,Round 3,FT90,false,,
CSL,2025,2025-04-01,Henan,Qingdao West Coast,2,3,false,League,Round 4,FT90,false,Qingdao West Coast,
CSL,2025,2025-04-01,Zhejiang Professional,Shenzhen Peng City,3,0,false,League,Round 4,FT90,false,Zhejiang Professional,
CSL,2025,2025-04-02,Changchun Yatai,Wuhan Three Towns,1,1,false,League,Round 4,FT90,false,,
CSL,2025,2025-04-02,Shanghai Shenhua,Yunnan Yukun,3,1,false,League,Round 4,FT90,false,Shanghai Shenhua,
CSL,2025,2025-04-02,Qingdao Hainiu,Dalian Yingbo,1,1,false,League,Round 4,FT90,false,,
CSL,2025,2025-04-02,Shandong Taishan,Chengdu Rongcheng,0,3,false,League,Round 4,FT90,false,Chengdu Rongcheng,
CSL,2025,2025-04-02,Tianjin Jinmen Tiger,Beijing Guoan,2,2,false,League,Round 4,FT90,false,,
