date,home_team,away_team,actual,Home,Draw,Away,model_name
2026-06-22,Norway,Senegal,Home,0.8104836313819785,0.12321942859749406,0.06629694002052734,DixonColes
2026-06-22,Jordan,Algeria,Away,0.620894032539084,0.26652174298488635,0.1125842244760296,DixonColes
2026-06-22,Argentina,Austria,Home,0.8876085683919096,0.09926276262645094,0.013128668981639505,DixonColes
2026-06-22,France,Iraq,Home,0.9157887655341395,0.06644087831617586,0.017770356149684675,DixonColes
2026-06-23,Portugal,Uzbekistan,Home,0.5223103032693999,0.2748484072733437,0.20284128945725638,DixonColes
2026-06-23,England,Ghana,Draw,0.16910452174968532,0.31201399235226296,0.5188814858980516,DixonColes
2026-06-23,Croatia,Panama,Home,0.9222185663198228,0.04203865021643738,0.03574278346373988,DixonColes
2026-06-23,Colombia,DR Congo,Home,0.00535641085540103,0.017995629989930203,0.9766479591546691,DixonColes
2026-06-24,Bosnia and Herzegovina,Qatar,Home,0.6700855034129716,0.2083944155335307,0.12152008105349757,DixonColes
2026-06-24,Switzerland,Canada,Home,0.12510320506339936,0.23855205659628903,0.6363447383403116,DixonColes
2026-06-24,Morocco,Haiti,Home,0.9284556618313948,0.06796190839577437,0.003582429772830734,DixonColes
2026-06-24,Scotland,Brazil,Away,0.07737393541678576,0.6014510807142264,0.3211749838689879,DixonColes
2026-06-25,South Africa,South Korea,Home,0.1246446735569607,0.3567182969659772,0.5186370294770621,DixonColes
2026-06-25,Czechia,Mexico,Away,0.0021299549249178488,0.023381182450150327,0.9744888626249317,DixonColes
2026-06-25,Curaçao,Ivory Coast,Away,0.04440033881791387,0.22660949242094053,0.7289901687611458,DixonColes
2026-06-25,Ecuador,Germany,Home,0.006004250459437945,0.06602013549653526,0.9279756140440268,DixonColes
2026-06-25,Japan,Sweden,Draw,0.7557457356037054,0.15247534218803277,0.09177892220826175,DixonColes
2026-06-25,Tunisia,Netherlands,Away,0.00019249929971119716,0.0007686244369667795,0.9990388762633218,DixonColes
2026-06-25,Turkey,United States,Home,8.103875692799753e-05,0.006320269476815224,0.9935986917662568,DixonColes
2026-06-25,Paraguay,Australia,Draw,0.16731728150176917,0.456335178579555,0.37634753991867576,DixonColes
2026-06-26,Cabo Verde,Saudi Arabia,Draw,0.6961482099772597,0.24057832643251936,0.06327346359022092,DixonColes
2026-06-26,Norway,France,Away,0.13487726072887252,0.2036768637221397,0.6614458755489878,DixonColes
2026-06-26,Senegal,Iraq,Home,0.6884106229830802,0.21875917951213236,0.09283019750478747,DixonColes
2026-06-26,New Zealand,Belgium,Away,0.20621073103770476,0.32866003442335434,0.46512923453894084,DixonColes
2026-06-26,Egypt,Iran,Draw,0.35222384190418654,0.4960589250931807,0.15171723300263276,DixonColes
2026-06-26,Uruguay,Spain,Away,0.00017027417310172744,0.0006198187407213954,0.999209907086177,DixonColes
2026-06-27,Panama,England,Away,0.013314373156160601,0.1620503418219426,0.8246352850218968,DixonColes
2026-06-27,Croatia,Ghana,Home,0.06928296228322461,0.3286240530586641,0.6020929846581112,DixonColes
2026-06-27,Colombia,Portugal,Draw,0.24741925185669636,0.3452690235859989,0.40731172455730486,DixonColes
2026-06-27,DR Congo,Uzbekistan,Home,0.920947914713582,0.04310972253394048,0.035942362752477496,DixonColes
2026-06-27,Algeria,Austria,Draw,0.1740547035682318,0.3260170486159768,0.4999282478157913,DixonColes
2026-06-27,Jordan,Argentina,Away,0.00435758360356279,0.12045652702774376,0.8751858893686937,DixonColes
2026-06-28,South Africa,Canada,Away,0.0743801768351375,0.23662144715864492,0.6889983760062175,DixonColes
2026-06-29,Brazil,Japan,Home,0.5031598853285189,0.35028025421400216,0.1465598604574789,DixonColes
2026-06-29,Germany,Paraguay,Draw,0.742735261626686,0.14949619143684975,0.10776854693646443,DixonColes
2026-06-29,Netherlands,Morocco,Draw,0.3472259884387503,0.23416132525589844,0.4186126863053511,DixonColes
2026-06-30,Ivory Coast,Norway,Away,0.3697877792826396,0.31680392401894314,0.31340829669841724,DixonColes
2026-06-30,France,Sweden,Home,0.9159232120452593,0.06449556087738874,0.019581227077352097,DixonColes
2026-06-30,Mexico,Ecuador,Home,0.5552143110667891,0.4264291334721814,0.01835655546102958,DixonColes
2026-07-01,England,DR Congo,Home,0.7379580088836912,0.20193833672113923,0.060103654395169515,DixonColes
2026-07-01,Belgium,Senegal,Home,0.39760482219778137,0.2920779958113072,0.3103171819909113,DixonColes
2026-07-01,United States,Bosnia and Herzegovina,Home,0.5796409794327441,0.14276297376385785,0.277596046803398,DixonColes
2026-07-02,Spain,Austria,Home,0.8007085559134852,0.1795667315481878,0.01972471253832715,DixonColes
2026-07-02,Portugal,Croatia,Home,0.6761085675404319,0.2093673957622296,0.11452403669733846,DixonColes
2026-07-02,Switzerland,Algeria,Home,0.8898675364296302,0.07791623150942222,0.0322162320609478,DixonColes
2026-07-03,Colombia,Ghana,Home,0.2718218066639844,0.5961323733644313,0.13204581997158438,DixonColes
2026-07-03,Australia,Egypt,Draw,0.2092020246097775,0.47610966487086503,0.3146883105193574,DixonColes
2026-07-03,Argentina,Cabo Verde,Draw,0.46662802853000335,0.43022092862175165,0.10315104284824503,DixonColes
